gene	ATAC_P1_1	ATAC_P1_2	ATAC_P1_3	ATAC_P2_1	ATAC_P2_2	ATAC_P2_3	ATAC_P1_1.1	ATAC_P1_2.1	ATAC_P1_3.1	ATAC_P2_1.1	ATAC_P2_2.1	ATAC_P2_3.1
CG4141	190.801057037856	196.788076353774	197.80120205669	167.537863557164	194.255959206249	172.385392444923	156.751682438704	246.217441211251	209.270516462893	148.998235198681	200.272830692304	170.07386510802
CG4152	330.72183219895	372.186144408224	299.464389705939	374.167895277666	461.35790311484	444.371233858023	228.963131652039	388.399343882537	368.316108974692	591.026332954767	495.757334992424	603.840236667925
CG4159	177.020980696233	168.981065564653	203.326375298497	111.691909038109	136.248971387716	172.385392444923	147.945408144395	133.512274459622	195.877203409268	197.008777651589	124.760124037829	134.186719259539
CG4169	242.74134478705	248.124096272149	280.678800683795	195.460840816691	234.72595070755	160.893032948595	200.78305391025	208.071077079931	244.427963228659	243.363784157845	190.423347215633	209.08163233463
CG4195	97.5205402637931	151.869058925195	90.6128411656347	156.368672653353	89.0339813028639	141.739100454714	79.2564686487829	64.1552487663119	56.9215804779069	64.5659019194284	93.5700930283714	56.1711848063186
CG4200	192.921068782721	248.124096272149	278.468731387073	201.045436268597	205.047956939929	252.83190891922	294.129561429928	173.392564233275	220.989665384815	168.864666558505	219.971797645645	199.719768200244
CG4202	161.120892609745	160.425062244924	124.868915264838	122.86109994192	126.805973370746	91.9388759706255	193.738034474803	97.0998359706342	140.629787063064	82.7767973326005	114.910640561158	138.867651326732
CG4204	236.381309552455	263.097102081676	250.842865178038	195.460840816691	147.040969121397	160.893032948595	317.025874595132	339.84942589722	334.832826340629	147.342699252029	167.441219103402	110.782058923573
CG4207	549.083041920052	536.889208313013	550.307254883977	530.536567931019	571.975879885065	471.186739349456	630.529239472539	613.809677385795	601.024923281429	506.593999675515	513.81472136632	489.937556366224
CG4208	521.522889236806	432.078167646329	467.429656256872	452.352231604343	428.981909913799	291.139773906981	582.97535828327	516.709841415161	557.496655857147	307.929686077274	431.735692394065	438.447303627098
CG4214	103.880575498388	139.035053945601	120.448776671393	173.122459009069	141.644970254556	137.908313955938	70.4501943544737	171.658638590943	113.843160955814	261.574679571017	262.652892711218	226.245049914339
CG4215	81.6204521773051	79.1430307074959	95.0329797590803	134.030290845731	141.644970254556	99.6004489681777	51.0763909069934	112.705166751629	75.3373859266415	220.186280904717	270.860795608444	257.451263695627
CG4220	769.564263386019	673.785261428681	607.76905659877	1234.19559487111	910.57480877929	1103.26651164751	773.190883040349	906.84311094003	838.756229983275	1296.28464622852	952.116736078165	1242.00730849527
CG4221	160.060886737313	149.730058095263	91.7178758139961	145.199481749542	101.174978753254	114.923594963282	119.765330402605	110.971241109296	112.168996824111	97.6766208524686	123.118543458383	101.420194789186
CG4225	173.840963078935	175.39806805445	150.28471217715	128.445695393826	145.691969404686	187.708538440027	107.436546390572	169.92471294861	130.584802272845	87.7434051725565	91.9285124489263	143.548583393925
CG4237	432.482395952474	594.642230721185	522.681388674942	329.491131662422	485.639898015621	509.494604337216	452.642498727493	433.481410583189	487.181762325615	435.405953969479	357.864566319035	427.525128803647
CG4239	65.7203640908171	94.1160365170222	91.7178758139961	134.030290845731	91.731980736284	91.9388759706255	98.6302720962631	81.4945051896394	100.449847902189	49.6660783995603	108.344318243377	76.4552237641559
CG4241	106.000587243253	128.340049795939	117.133672726308	167.537863557164	121.409974503905	80.4465164742973	98.6302720962631	97.0998359706342	68.6407293998289	77.8101894926445	121.476962878938	106.10112685638
CG4244	112.360622477849	132.618051455804	74.0373214402138	122.86109994192	87.6849815861539	99.6004489681777	68.6889394956118	145.649753955951	138.955622931361	187.075561971677	210.122314168974	166.953243729892
CG4252	498.202760043291	502.665195034096	425.438339619139	335.075727114328	457.31090396471	444.371233858023	382.19230437302	407.472525948197	420.215197057489	284.752182824146	359.50614689848	355.750837106685
CG4258	256.521421128673	211.7610821633	174.595474441101	357.41410892195	362.880923795006	317.955279398413	154.990427579842	260.088846349913	237.731306701846	430.439346129523	369.35563037515	402.560157778617
CG4261	242.74134478705	252.402097932014	201.116306001775	212.214627172408	223.93395297387	214.52404393146	156.751682438704	279.162028415573	244.427963228659	221.841816851369	215.04705590731	224.684739225275
CG4268	193.981074655154	224.595087142894	244.212657287869	201.045436268597	67.449985835503	103.431235466954	461.448773021803	409.20645159053	433.608510111114	87.7434051725565	118.193801720048	82.6964665204136
CG4272	142.040786905959	213.900082993232	133.709192451729	223.383818076219	215.839954673609	245.170335921668	82.7789783665066	136.980125744288	157.371428380096	390.706483409874	333.240857627358	330.785866081654
CG4276	117.660651840011	183.95407137418	92.8229104623576	145.199481749542	159.181966571787	164.723819447371	58.1214103424408	90.1641334013032	95.4273555070792	225.152888744673	170.724380262292	234.046603359661
CG4279	304.221685388137	305.877118680322	365.766468607623	407.675467989099	276.544941925562	214.52404393146	431.507440421151	405.738600305864	431.934345979411	412.22845071635	390.696177907937	262.13219576282
CG4291	86.9204815394677	89.8380348571575	99.4531183525259	156.368672653353	121.409974503905	111.092808464506	77.495213789921	121.374794963293	93.7531913753761	216.875209011413	211.76389474842	210.641943023695
